recipientid,case_status,case_reopened,case_isactive,demo_familysize,demo_deceasedcount,demo_eduburden,demo_maritalvuln,med_disability,med_chronic,med_urgent,med_count,house_isrented,house_rent,house_infra,house_elec,house_ratio,fin_balance,fin_status,hist_lastmonth,xgboost_suggestion,group_id,max_budget,min_allocation,max_allocation,min_cases,amount_allocated
48df5a5f,0,1,1,8,2,3,5,7,4,1,8,0,0,0,1,0.125,82.35317672,1,659.6293664,1393.665,3,100000,500,750,100,801.3573749999999
d0f75584,0,2,1,8,2,1,0,7,4,1,8,0,0,0,0,0.125,386.0062382,1,390.7283656,1219.4221,3,100000,500,750,100,595.992551375
3666811d,0,2,1,3,2,11,1,7,4,0,8,1,800,1,1,0.333333333,220.5360791,1,276.4416906,790.8173,3,100000,500,750,100,395.40865
6f1c4147,0,0,1,7,1,19,5,7,4,1,4,1,400,0,1,0.142857143,266.5144336,1,906.1432548,1332.552,3,100000,500,750,100,766.2173999999999
558940a0,0,0,1,4,2,8,3,0,4,1,4,0,0,0,0,0.25,483.8779386,1,485.3589832,660.1218,3,100000,500,750,100,322.63452974999996
eca13b6e,0,0,1,6,1,4,0,0,0,0,8,0,0,1,1,0.166666667,82.97744765,1,209.7529477,521.7693,3,100000,500,750,100,0.0
7a54e7cc,0,2,1,4,0,10,1,0,4,0,9,0,0,1,1,0.25,55.37422266,1,494.2124473,372.2264,3,100000,500,750,100,0.0
800ac4d0,0,1,1,8,1,0,4,0,4,0,0,0,0,0,1,0.125,412.9891064,1,191.2604179,654.082,3,100000,500,750,100,277.98485
f45866a5,0,2,1,5,2,2,0,7,0,0,6,0,0,0,1,0.2,421.8686632,1,686.3271967,610.0458,3,100000,500,750,100,259.26946499999997
c86a0192,0,1,1,6,2,2,3,7,0,1,3,0,0,0,1,0.166666667,113.5897785,1,68.50540663,957.1445,3,100000,500,750,100,550.3580875
2137a9f6,0,1,1,4,0,14,1,0,0,0,7,0,0,0,1,0.25,394.2236716,1,169.0810704,287.4365,3,100000,500,750,100,0.0
96ab720e,0,2,1,6,1,2,2,7,0,0,5,1,1500,0,1,0.166666667,190.8059699,1,42.02467517,855.3246,3,100000,500,750,100,427.6623
d183024b,0,2,1,8,2,9,2,0,4,0,6,0,0,1,0,0.125,486.3881614,1,726.6709921,787.2722,3,100000,500,750,100,334.590685
e01e46a8,0,2,1,1,1,3,0,7,0,0,8,1,800,1,1,1.0,224.921104,1,301.2652608,461.1568,3,100000,500,750,100,0.0
00f6a380,0,0,1,4,0,13,5,0,4,1,2,1,1500,1,1,0.25,426.1319372,1,239.5101699,754.3497,3,100000,500,750,100,368.688415875
3.31E+88,0,2,1,3,2,4,3,0,0,0,9,0,0,0,1,0.333333333,427.8480469,1,525.2397575,323.7897,3,100000,500,750,100,0.0
3ac3ae29,0,1,1,4,1,19,0,0,0,0,2,1,1500,1,1,0.25,474.0541601,1,104.2248028,619.4981,3,100000,500,750,100,263.2866925
2bd5544c,0,2,1,6,2,8,0,7,0,0,7,1,1500,0,1,0.166666667,300.3255333,1,2.921032621,832.3601,3,100000,500,750,100,353.7530425
276fe960,0,0,1,3,0,16,2,7,4,1,5,0,0,1,1,0.333333333,225.2326508,1,206.9925784,922.3123,3,100000,500,750,100,530.3295725
3fd105e2,0,0,1,1,0,6,4,0,0,0,8,1,400,0,1,1.0,416.6585357,1,44.38777217,181.2005,3,100000,500,750,100,0.0
2d19ff89,0,0,1,1,2,8,4,7,0,0,0,1,800,0,0,1.0,439.9313387,1,929.4266945,575.7063,3,100000,500,750,100,244.67517750000002
0ee4d3d9,0,1,1,8,0,12,3,0,4,1,6,1,1500,0,0,0.125,441.129278,1,954.0331276,917.527,3,100000,500,750,100,448.44132125
2cad1e83,0,2,1,6,1,17,1,7,4,1,7,1,800,1,1,0.166666667,20.27936877,1,92.28479207,1371.3674,3,100000,500,750,100,788.536255
659d0e2c,0,1,1,4,2,14,0,0,4,1,2,0,0,1,1,0.25,202.1198648,1,361.9199908,640.3748,3,100000,500,750,100,368.21551
4ab3f85b,0,1,1,6,1,1,4,7,0,0,2,1,800,1,0,0.166666667,436.8492967,1,11.70661073,892.3889,3,100000,500,750,100,379.2652825
0b7a5d54,0,2,1,3,0,16,0,0,4,1,8,0,0,0,1,0.333333333,199.6843742,1,692.4928267,430.4846,3,100000,500,750,100,0.0
7535a5c6,0,1,1,5,1,2,2,7,4,1,8,0,0,0,1,0.2,295.1427715,1,318.8668183,1043.3839,3,100000,500,750,100,599.9457424999999
39bb1425,0,2,1,6,2,1,3,0,0,0,0,0,0,0,1,0.166666667,344.2025092,1,345.8774607,528.3226,3,100000,500,750,100,0.0
497e5743,0,1,1,1,1,15,3,7,4,0,4,0,0,1,1,1.0,302.8896247,1,167.3597331,660.3623,3,100000,500,750,100,280.6539775
85bf4eef,0,0,1,6,0,3,1,0,4,0,9,1,800,0,0,0.166666667,265.9563533,1,160.0249365,500.188,3,100000,500,750,100,0.0
a3f4ad8b,0,1,1,5,2,5,3,7,4,1,3,1,1500,0,0,0.2,156.9833587,1,606.8773416,1313.8853,3,100000,500,750,100,755.4840474999999
6747c477,0,0,1,1,0,4,0,0,0,0,2,1,1500,0,1,1.0,386.7694458,1,833.6499619,155.7348,3,100000,500,750,100,0.0
49c1d938,0,2,1,2,0,11,2,0,4,1,1,1,400,0,1,0.5,338.6936608,1,139.1967013,398.2485,3,100000,500,750,100,0.0
5a189c95,0,1,1,3,1,7,5,0,4,0,2,0,0,0,1,0.333333333,496.9241944,1,395.1377433,475.4724,3,100000,500,750,100,0.0
681b6fbf,0,0,1,7,2,12,3,7,0,0,9,0,0,1,1,0.142857143,454.7273055,1,57.74105187,806.5291,3,100000,500,750,100,342.77486749999997
b3867416,0,2,1,4,1,15,3,7,4,0,8,0,0,0,1,0.25,474.5560715,1,375.3299079,682.6352,3,100000,500,750,100,290.11996
28f93bb5,0,2,1,3,2,17,3,0,0,1,8,1,800,0,1,0.333333333,447.2262784,1,956.0471436,460.1935,3,100000,500,750,100,0.0
b978cd3c,0,1,1,8,0,0,2,0,4,1,5,0,0,0,1,0.125,219.5749083,1,971.5330424,619.4409,3,100000,500,750,100,356.1785175
654c66bb,0,2,1,5,1,15,3,7,0,0,2,1,800,1,1,0.2,346.2662158,1,957.448019,762.4942,3,100000,500,750,100,324.06003499999997
4e502c2f,0,0,1,3,2,6,2,0,4,1,0,1,400,0,1,0.333333333,414.2346497,1,142.8502873,609.7676,3,100000,500,750,100,298.02391449999993
b76215b2,0,2,1,4,2,8,1,7,4,0,7,0,0,0,1,0.25,52.20206487,1,66.00984414,704.7456,3,100000,500,750,100,352.3728
04a1d1df,0,1,1,3,1,12,4,0,0,0,1,0,0,1,1,0.333333333,288.5203322,1,112.9316427,457.1567,3,100000,500,750,100,0.0
e15f4f72,0,0,1,2,2,1,2,7,0,0,6,0,0,0,1,0.5,333.4272105,1,906.1110021,442.6721,3,100000,500,750,100,0.0
ab684ae4,0,1,1,5,1,12,4,0,0,1,9,0,0,1,1,0.2,274.4902247,1,187.8428525,589.5617,3,100000,500,750,100,338.99797749999993
8e215d4e,0,2,1,4,1,13,1,7,4,0,3,0,0,0,1,0.25,35.88790311,1,552.5009674,701.1732,3,100000,500,750,100,350.5866
b3098285,0,1,1,5,2,13,1,7,4,0,5,0,0,0,1,0.2,360.3275726,1,748.6452341,688.2369,3,100000,500,750,100,292.5006825
9dc775ea,0,2,1,1,1,4,3,0,4,1,8,1,400,0,0,1.0,233.484,1,360.2339188,560.105,3,100000,500,750,100,322.06037499999996
33960dfa,0,1,1,3,1,14,2,0,0,1,0,0,0,1,1,0.333333333,285.9045818,1,964.0784165,412.0116,3,100000,500,750,100,0.0
9b6102fb,0,0,1,4,1,14,4,0,0,1,3,0,0,1,1,0.25,351.9285458,1,761.0377903,486.6394,3,100000,500,750,100,0.0
b3e205be,0,1,1,7,2,18,3,0,4,1,2,0,0,1,1,0.142857143,134.4840158,1,385.1201199,879.1172,3,100000,500,750,100,505.49239
714e97f0,0,1,1,4,1,4,4,7,0,0,7,1,800,0,1,0.25,383.7838143,1,869.7631767,706.3277,3,100000,500,750,100,300.1892725
05fd277f,0,1,1,6,0,1,0,7,4,1,5,0,0,0,1,0.166666667,377.0115175,1,315.6273438,875.0547,3,100000,500,750,100,427.682984625
930f32d2,0,1,1,1,2,12,0,0,4,0,4,0,0,1,1,1.0,143.7047982,1,99.86682114,404.8954,3,100000,500,750,100,0.0
bf35590f,0,1,1,6,1,9,2,0,0,1,9,1,400,1,1,0.166666667,354.6914835,1,595.1316749,587.5688,3,100000,500,750,100,287.17425099999997
e0741ec9,0,1,1,6,2,16,3,7,4,1,8,0,0,1,1,0.166666667,227.4594448,1,770.1582118,1237.3972,3,100000,500,750,100,711.50339
a3239d3e,0,2,1,2,0,0,1,0,4,1,2,1,800,1,1,0.5,8.776181683,1,568.0925123,430.326,3,100000,500,750,100,0.0
41b3eada,0,1,1,1,0,7,4,7,0,0,1,1,1500,0,0,1.0,391.5992066,1,228.2353635,588.315,3,100000,500,750,100,250.03387500000002
478f53fe,0,1,1,4,1,3,1,7,0,1,8,1,1500,1,1,0.25,236.9049142,1,650.9573351,1050.6639,3,100000,500,750,100,604.1317425
7393275c,0,2,1,1,0,9,2,0,0,1,0,1,1500,1,0,1.0,309.8672857,1,635.9547072,387.8173,3,100000,500,750,100,0.0
7c5e387e,0,1,1,1,1,14,0,7,4,0,9,0,0,0,1,1.0,168.6700705,1,497.3124462,467.3331,3,100000,500,750,100,0.0
abf1852c,0,0,1,5,1,17,5,7,4,1,7,0,0,0,1,0.2,310.4542951,1,165.7497798,1181.1891,3,100000,500,750,100,577.306172625
6406eb6b,0,2,1,4,0,15,2,0,4,1,4,0,0,1,1,0.25,337.1744895,1,960.6269755,500.8172,3,100000,500,750,100,0.0
71eb6f10,0,0,1,1,1,17,1,7,4,0,4,0,0,0,1,1.0,88.04773567,1,355.0410565,565.5611,3,100000,500,750,100,282.78055
d3dff292,0,1,1,8,0,9,5,7,4,1,5,0,0,0,1,0.125,378.6551036,1,666.600479,1173.1512,3,100000,500,750,100,573.3776489999999
20ca81ec,0,2,1,4,1,10,4,7,4,0,5,1,400,0,1,0.25,392.210429,1,728.8614423,697.0639,3,100000,500,750,100,296.2521575
6edf4f98,0,2,1,5,0,12,1,7,0,0,0,0,0,0,1,0.2,240.4450733,1,954.846993,553.3658,3,100000,500,750,100,0.0
cfc6780c,0,0,1,3,2,16,2,7,4,1,1,0,0,1,1,0.333333333,16.30897417,1,386.3231731,1026.0679,3,100000,500,750,100,589.9890425
3c8cc582,0,0,1,4,1,12,3,7,0,0,3,0,0,0,0,0.25,451.1182017,1,38.92996333,686.7913,3,100000,500,750,100,291.8863025
dc23a880,0,2,1,5,0,2,3,7,0,1,9,0,0,0,1,0.2,281.662321,1,894.0943025,755.7979,3,100000,500,750,100,434.58379249999996
bbda59b7,0,0,1,8,1,19,1,7,0,1,3,1,400,1,1,0.125,390.1827515,1,331.5646991,1165.8595,3,100000,500,750,100,569.813830625
0acb8842,0,1,1,2,2,14,2,7,0,1,3,0,0,0,1,0.5,253.460219,1,771.1228159,797.5682,3,100000,500,750,100,458.601715
239baa49,0,0,1,3,2,12,4,0,4,1,9,0,0,0,1,0.333333333,269.5472764,1,590.4310898,601.5867,3,100000,500,750,100,345.91235249999994
5f590bbe,0,2,1,8,2,18,5,0,4,0,8,1,400,0,1,0.125,5.045303345,1,663.0471918,832.8593,3,100000,500,750,100,416.42965
c43cc20e,0,1,1,5,1,4,0,7,0,1,4,0,0,1,1,0.2,304.8155058,1,336.9647257,929.5104,3,100000,500,750,100,454.298208
5b417452,0,1,1,8,2,9,1,7,0,0,5,0,0,0,1,0.125,39.22790816,1,268.8467425,776.9476,3,100000,500,750,100,388.4738
acc3415d,0,2,1,1,0,4,5,0,0,1,6,1,1500,1,1,1.0,148.2799561,1,972.419999,298.5814,3,100000,500,750,100,0.0
f18e35bc,0,0,1,3,1,6,4,7,0,1,5,0,0,0,1,0.333333333,61.01524716,1,195.240603,856.7949,3,100000,500,750,100,492.6570674999999
e156d29e,0,1,1,6,0,16,3,7,0,1,0,0,0,0,0,0.166666667,78.66314,1,311.9840203,1018.1756,4,1000,200,400,5,0.0
00fcc140,0,1,1,3,1,0,5,7,0,1,8,0,0,0,1,0.333333333,62.19141562,1,501.0878803,698.5134,4,1000,200,400,5,0.0
2538d7f6,0,2,1,1,0,4,2,7,4,0,3,0,0,1,1,1.0,25.83436083,1,714.4107636,384.826,4,1000,200,400,5,0.0
78e390f8,0,1,1,4,0,4,5,7,0,1,3,1,1500,0,0,0.25,408.2053925,1,906.0870605,951.2412,4,1000,200,400,5,0.0
92a11039,0,2,1,8,1,10,4,0,4,1,0,0,0,0,0,0.125,274.4293325,1,732.6990506,884.2184,4,1000,200,400,5,0.0
f1a44c08,0,2,1,6,0,1,5,0,0,0,6,0,0,1,0,0.166666667,342.7219416,1,671.4791487,466.6727,4,1000,200,400,5,0.0
a0937961,0,1,1,6,0,19,4,7,4,1,5,0,0,0,1,0.166666667,392.6344058,1,11.48065975,1135.3615,4,1000,200,400,5,200.0
df17c7c3,0,1,1,2,1,19,0,0,0,1,8,1,400,0,1,0.5,277.7477121,1,605.4826692,357.9732,4,1000,200,400,5,0.0
b718f22b,0,2,1,3,1,10,2,0,0,0,1,1,1500,0,1,0.333333333,274.8031343,1,92.06698608,582.5248,4,1000,200,400,5,0.0
f156c381,0,2,1,6,1,14,2,7,0,1,1,0,0,1,1,0.166666667,351.8961555,1,312.9073942,1108.3423,4,1000,200,400,5,200.0
931c06de,0,0,1,5,1,14,2,7,0,0,0,1,800,1,1,0.2,52.9529022,1,587.5858711,847.8301,4,1000,200,400,5,0.0
9183f311,0,1,1,5,2,0,1,7,0,1,0,0,0,1,1,0.2,270.9950374,1,672.460498,937.4521,4,1000,200,400,5,0.0
0c9a0917,0,1,1,2,2,14,3,0,0,1,1,1,400,0,1,0.5,163.5223221,1,589.4539895,430.5912,4,1000,200,400,5,0.0
aaed48b6,0,1,1,4,2,14,3,0,4,1,7,1,800,1,1,0.25,99.63516823,1,270.806328,846.7836,4,1000,200,400,5,0.0
26c081cf,0,1,1,3,0,10,1,7,4,1,2,1,800,1,0,0.333333333,107.6721907,1,383.2842396,947.4725,4,1000,200,400,5,0.0
3d45da77,0,2,1,2,1,7,2,7,4,1,0,1,800,1,0,0.5,368.9586967,1,799.718764,1114.3665,4,1000,200,400,5,200.0
216b6d6a,0,2,1,4,1,1,4,7,0,1,1,1,400,1,1,0.25,429.9119177,1,499.4317699,881.4247,4,1000,200,400,5,0.0
de56cafc,0,2,1,2,0,12,3,7,4,1,0,1,1500,1,1,0.5,221.9597273,1,28.3112744,1060.358,4,1000,200,400,5,200.0
f74df0c9,0,0,1,7,0,0,5,7,0,0,3,0,0,0,1,0.142857143,5.746236649,1,185.6467049,661.0162,4,1000,200,400,5,0.0
3b89a42e,0,2,1,3,2,9,0,0,0,1,6,0,0,1,1,0.333333333,3.982202373,1,789.2928483,372.9947,4,1000,200,400,5,0.0
159ec625,0,1,1,8,0,9,1,0,4,1,8,0,0,0,1,0.125,316.1082989,1,392.7307433,647.0555,4,1000,200,400,5,0.0
e21bee70,0,2,1,6,2,15,2,7,0,1,3,0,0,0,1,0.166666667,442.1882735,1,459.1892337,1141.6197,4,1000,200,400,5,200.0
da6aa03f,0,1,1,7,0,1,4,7,4,0,2,0,0,1,1,0.142857143,82.64224507,1,83.55433751,727.2057,4,1000,200,400,5,0.0
8b8551fa,0,2,1,4,1,6,5,0,0,0,8,1,400,1,1,0.25,303.8763415,1,571.9122039,542.5316,4,1000,200,400,5,0.0
4bdf4451,0,0,1,7,2,9,1,0,0,0,0,0,0,0,1,0.142857143,435.7342107,1,870.5269663,538.408,5,7500,600,1000,5,0.0
ca32c800,0,0,1,5,1,16,4,0,4,1,0,0,0,1,1,0.2,219.5477826,1,507.805064,863.3547,5,7500,600,1000,5,0.0
879616a9,0,0,1,1,2,2,4,0,0,0,8,0,0,1,1,1.0,428.6544512,1,9.978776658,311.4579,5,7500,600,1000,5,0.0
1716bceb,0,2,1,6,2,8,5,0,0,1,4,0,0,0,0,0.166666667,242.54733,1,484.3444263,693.4967,5,7500,600,1000,5,0.0
58d720ee,0,1,1,6,1,7,5,7,4,1,1,1,1500,1,1,0.166666667,7.754165313,1,847.9278838,1438.8153,5,7500,600,1000,5,827.3187975
2bd4702e,0,2,1,5,0,9,4,0,0,1,3,0,0,1,1,0.2,216.7361164,1,608.4089359,386.6434,5,7500,600,1000,5,0.0
932da68f,0,0,1,3,2,10,1,7,4,1,3,1,800,0,1,0.333333333,328.3647424,1,804.4946424,1078.2668,5,7500,600,1000,5,527.0028985
3e6fa3bb,0,2,1,8,0,6,1,7,0,1,6,1,400,1,1,0.125,390.9799886,1,713.2358681,1020.8679,5,7500,600,1000,5,0.0
d0a4a165,0,0,1,4,1,16,2,0,4,0,5,1,1500,0,0,0.25,195.3775762,1,541.6464182,721.5793,5,7500,600,1000,5,0.0
229eac0e,0,1,1,8,0,1,5,7,4,0,1,1,800,0,1,0.125,92.68638954,1,557.9274452,878.358,5,7500,600,1000,5,0.0
51e74ed2,0,0,1,2,1,16,5,7,0,1,9,1,400,0,1,0.5,225.3881419,1,636.3742815,845.0572,5,7500,600,1000,5,0.0
c43e0504,0,1,1,6,1,6,4,0,0,0,4,1,1500,0,1,0.166666667,411.8836979,1,187.7224057,667.8191,5,7500,600,1000,5,0.0
c17b89b5,0,1,1,4,0,5,4,0,4,1,7,1,1500,1,0,0.25,108.6154432,1,38.97932066,711.5745,5,7500,600,1000,5,0.0
0e46c923,0,2,1,8,0,5,1,7,4,1,3,0,0,0,0,0.125,218.2097994,1,67.25591397,1227.226,5,7500,600,1000,5,705.65495
fd5eb425,0,2,1,4,0,9,2,0,0,1,4,1,800,1,1,0.25,400.6739959,1,411.191518,396.6313,5,7500,600,1000,5,0.0
0d004d0d,0,0,1,3,1,16,3,7,0,1,4,1,800,1,1,0.333333333,382.1766932,1,563.3953507,954.6836,5,7500,600,1000,5,0.0
7f823683,0,1,1,5,0,18,2,7,4,1,6,0,0,1,1,0.2,34.66416519,1,569.4844842,1040.5187,5,7500,600,1000,5,0.0
50351137,0,2,1,4,0,11,1,7,4,1,1,1,800,1,1,0.25,234.6426137,1,593.158219,1067.3169,5,7500,600,1000,5,613.7072175
705f6600,0,0,1,3,2,10,4,7,0,1,6,0,0,0,1,0.333333333,186.5613092,1,974.2476541,850.9072,5,7500,600,1000,5,0.0
1d16a9e4,0,2,1,4,1,17,0,0,4,0,7,1,1500,1,1,0.25,352.5695728,1,779.1025864,646.9437,5,7500,600,1000,5,0.0
720bfc55,0,2,1,6,1,12,4,7,0,1,5,0,0,1,1,0.166666667,455.1065174,1,78.55783092,1047.3255,5,7500,600,1000,5,511.88033812499987
87470892,0,2,1,4,0,19,3,0,4,0,7,1,1500,0,1,0.25,115.397327,1,501.5756999,579.3619,5,7500,600,1000,5,0.0
3bac9fab,0,0,1,8,2,8,2,0,4,1,3,1,800,0,0,0.125,143.2597745,1,603.0395551,991.0004,5,7500,600,1000,5,0.0
9d1e3212,0,1,1,4,0,9,5,0,0,0,1,1,800,1,1,0.25,197.9807944,1,416.2180588,448.8991,5,7500,600,1000,5,0.0
ec5c2fad,0,1,1,3,2,4,3,0,0,0,7,1,400,1,1,0.333333333,471.191727,1,439.7404865,442.6682,5,7500,600,1000,5,0.0
be897637,0,1,1,5,0,3,4,0,4,0,5,1,1500,1,1,0.2,413.3091728,1,898.238064,546.3575,6,88000,250,500,50,0.0
12a2b935,0,2,1,7,1,1,2,7,4,0,6,0,0,1,1,0.142857143,135.6829818,1,580.6990846,783.2565,6,88000,250,500,50,0.0
d6a0fb10,0,2,1,1,0,9,4,7,4,1,7,1,800,0,1,1.0,153.231734,1,574.2875751,878.4347,6,88000,250,500,50,0.0
a4bea9ca,0,2,1,1,2,6,4,0,4,1,5,0,0,1,0,1.0,156.9377484,1,195.1665172,649.3318,6,88000,250,500,50,0.0
49a0f6ed,0,0,1,3,1,15,3,0,0,0,4,0,0,0,1,0.333333333,58.50586243,1,889.8837265,408.46,6,88000,250,500,50,0.0
81cc1d10,0,1,1,6,1,3,3,0,4,1,2,0,0,0,1,0.166666667,256.4485278,1,141.2235434,668.7564,6,88000,250,500,50,0.0
56f06ded,0,2,1,4,1,5,5,0,4,0,0,1,400,1,1,0.25,412.8554758,1,367.3907287,613.7339,6,88000,250,500,50,0.0
dca02bb9,0,0,1,3,1,19,0,0,0,1,9,0,0,1,1,0.333333333,397.9631936,1,521.9530035,433.7216,6,88000,250,500,50,0.0
edfd32be,0,2,1,2,1,3,0,0,0,1,6,1,1500,1,1,0.5,375.132882,1,237.0847085,448.5039,6,88000,250,500,50,0.0
60eb9e28,0,2,1,6,2,12,4,0,4,1,1,0,0,0,1,0.166666667,462.2612344,1,487.2653541,827.4916,6,88000,250,500,50,0.0
be60aace,0,2,1,5,2,15,0,7,0,0,4,0,0,1,1,0.2,237.843909,1,509.8540096,632.0457,6,88000,250,500,50,0.0
77078be8,0,0,1,7,0,19,0,7,0,1,7,0,0,0,1,0.142857143,139.2353645,1,449.0387679,865.8442,6,88000,250,500,50,0.0
0a247b42,0,1,1,8,2,7,1,7,0,1,4,0,0,0,1,0.125,347.8123262,1,772.7714197,1047.1266,6,88000,250,500,50,511.78312575
1c91f95d,0,0,1,5,1,17,5,0,0,0,4,0,0,1,1,0.2,463.6775903,1,775.2440518,560.1284,6,88000,250,500,50,0.0
a36d4bfd,0,2,1,3,2,16,5,0,4,0,3,1,1500,1,1,0.333333333,466.6025439,1,947.1614629,656.3622,6,88000,250,500,50,0.0
7457aba9,0,1,1,4,1,12,3,7,4,1,7,0,0,0,1,0.25,140.8080211,1,435.6447905,1071.9345,6,88000,250,500,50,616.3623375
c561f33c,0,2,1,8,0,11,1,7,4,0,7,0,0,0,1,0.125,44.49485743,1,162.7909892,776.23,6,88000,250,500,50,0.0
3219d8e6,0,0,1,7,1,2,1,7,4,0,2,0,0,1,1,0.142857143,223.3572636,1,647.5164648,776.9242,6,88000,250,500,50,0.0
9435914b,0,2,1,2,2,11,0,0,4,0,3,0,0,0,1,0.5,392.1030872,1,884.5868882,325.8346,6,88000,250,500,50,0.0
7675f8c9,0,1,1,7,0,1,5,0,4,1,9,1,1500,0,1,0.142857143,135.8165906,1,822.4946493,774.5985,6,88000,250,500,50,0.0
3be11ef1,0,1,1,2,0,4,5,0,0,0,4,1,800,0,1,0.5,216.9219614,1,658.6613549,248.4118,6,88000,250,500,50,0.0
708b1db9,0,0,1,4,2,7,1,7,0,0,6,0,0,0,1,0.25,261.5715103,1,253.9377719,568.0558,6,88000,250,500,50,0.0
5e809bc4,0,2,1,5,0,8,2,7,4,1,9,0,0,0,1,0.2,292.5392211,1,658.7176387,953.8594,6,88000,250,500,50,548.469155
cca2255f,0,0,1,5,0,8,1,0,4,1,0,1,800,0,1,0.2,280.627839,1,52.76525786,567.0275,6,88000,250,500,50,0.0
575dc243,0,0,1,1,0,14,0,7,4,1,0,1,400,1,1,1.0,179.6043735,1,158.3039001,916.604,6,88000,250,500,50,527.0473
f6ef554b,0,2,1,6,1,12,5,0,4,0,4,0,0,0,1,0.166666667,417.2954763,1,576.4724376,680.9218,6,88000,250,500,50,0.0
7ad6d303,0,2,1,8,1,16,0,7,4,1,1,0,0,1,1,0.125,59.32188287,1,249.7721624,1377.0562,6,88000,250,500,50,791.8073149999999
5dbf36e6,0,2,1,2,0,6,3,0,0,1,9,0,0,0,1,0.5,357.3766382,1,661.7777325,143.0962,6,88000,250,500,50,0.0
d3e2e1ae,0,1,1,8,0,6,2,7,0,1,4,1,1500,0,1,0.125,305.9155101,1,531.6610238,1023.2833,6,88000,250,500,50,500.129712875
75b807dd,0,2,1,8,2,15,3,7,4,0,8,1,400,1,1,0.125,90.88943361,1,518.2761764,995.3034,6,88000,250,500,50,497.6517
b3561e51,0,1,1,7,2,6,1,0,0,0,4,1,1500,1,1,0.142857143,25.10721585,1,314.8258294,762.3603,6,88000,250,500,50,0.0
d42401fd,0,1,1,5,1,12,4,7,4,0,1,1,1500,1,0,0.2,221.9519162,1,107.6141848,1057.9244,6,88000,250,500,50,528.9622
32f44e93,0,0,1,7,1,19,5,7,4,1,3,1,1500,1,1,0.142857143,137.1923026,1,6.379043407,1674.6574,6,88000,250,500,50,962.928005
bbe51f8b,0,0,1,7,1,5,2,7,0,0,1,0,0,0,1,0.142857143,105.4431138,1,265.9284506,811.6121,6,88000,250,500,50,0.0
57759189,0,0,1,1,2,14,4,0,4,0,7,0,0,0,0,1.0,90.59163953,1,160.225601,515.8751,6,88000,250,500,50,0.0
36189080,0,2,1,8,0,13,1,7,0,1,4,1,400,1,1,0.125,448.9823234,1,159.6249014,974.2356,6,88000,250,500,50,476.1576494999999
9ba8a157,0,2,1,5,0,1,3,0,4,0,1,0,0,0,1,0.2,152.3011779,1,420.0040741,371.1968,6,88000,250,500,50,0.0
c2d77604,0,2,1,3,0,11,2,0,0,0,7,1,400,1,1,0.333333333,473.3780176,1,397.6844144,287.1128,6,88000,250,500,50,0.0
88443d06,0,1,1,7,0,10,0,0,0,1,3,1,800,0,1,0.142857143,274.9342814,1,87.59129741,488.4984,6,88000,250,500,50,0.0
32e496a2,0,1,1,4,1,15,5,7,0,1,3,1,800,0,0,0.25,435.3442277,1,442.1070347,1040.1885,6,88000,250,500,50,508.3921293749999
1e06a809,0,1,1,3,2,19,4,7,0,0,4,0,0,1,1,0.333333333,402.7161646,1,408.4555814,613.2347,6,88000,250,500,50,0.0
f5f7cfee,0,2,1,6,1,12,2,7,4,1,5,0,0,1,1,0.166666667,168.7662329,1,895.6899443,1151.7389,6,88000,250,500,50,662.2498674999999
c3a1be27,0,1,1,6,0,3,1,7,0,0,3,0,0,0,1,0.166666667,395.2602551,1,360.4745051,470.9393,6,88000,250,500,50,0.0
175429be,0,0,1,5,0,9,3,0,4,0,1,0,0,0,1,0.2,15.01066607,1,577.8070503,411.1913,6,88000,250,500,50,0.0
55f384cc,0,0,1,3,0,15,5,0,0,1,3,1,400,0,1,0.333333333,309.3860385,1,129.1744452,360.3444,6,88000,250,500,50,0.0
46beee6e,0,2,1,7,0,0,2,7,4,1,9,1,400,0,1,0.142857143,126.7920585,1,765.3633639,1087.4825,6,88000,250,500,50,625.3024375
90071236,0,1,1,3,0,2,3,0,4,1,5,0,0,1,1,0.333333333,336.9194491,1,765.8290392,399.0688,6,88000,250,500,50,0.0
978d00c8,0,0,1,6,0,9,3,7,4,1,5,1,1500,0,1,0.166666667,384.2906655,1,652.2353531,1217.5371,6,88000,250,500,50,595.0712576249999
22df3ebc,0,1,1,1,0,15,1,7,4,1,8,0,0,1,0,1.0,22.49841062,1,126.3864224,840.5917,6,88000,250,500,50,0.0
fe6ad847,0,2,1,2,2,1,0,0,4,0,4,1,400,0,1,0.5,421.0078308,1,633.4117402,325.7384,6,88000,250,500,50,0.0
80baf038,0,1,1,4,1,13,5,0,4,0,7,1,800,1,1,0.25,250.1392676,1,863.0090461,722.1058,6,88000,250,500,50,0.0
1878340f,0,0,1,6,1,15,4,7,4,1,4,0,0,0,1,0.166666667,146.6767107,1,679.6331824,1230.801,6,88000,250,500,50,707.710575
afd4a768,0,1,1,4,2,13,5,7,4,1,0,1,800,1,1,0.25,296.7306914,1,127.3694734,1293.1737,6,88000,250,500,50,743.5748775
5e212b15,0,1,1,1,0,19,2,7,0,1,6,1,1500,0,1,1.0,324.8940234,1,322.7265727,722.904,6,88000,250,500,50,0.0
2f294649,0,0,1,8,2,4,0,0,4,1,8,0,0,1,1,0.125,478.8158231,1,666.2678615,776.5446,6,88000,250,500,50,0.0
